emotion,filename
Happy,1407.wav
Neutral,1408.wav
Sad,1409.wav
Suprised,1410.wav
Neutral,1411.wav
Happy,1412.wav
Angry,1413.wav
Fearful,1414.wav
Angry,1415.wav
Happy,1416.wav
Neutral,1417.wav
Suprised,1418.wav
Neutral,1419.wav
Sad,1420.wav
Disgusted,1421.wav
Happy,1422.wav
Sad,1423.wav
Disgusted,1424.wav
Angry,1425.wav
Angry,1426.wav
Fearful,1427.wav
Angry,1428.wav
Fearful,1429.wav
Disgusted,1430.wav
Fearful,1431.wav
Suprised,1432.wav
Angry,1433.wav
Angry,1434.wav
Sad,1435.wav
Angry,1436.wav
Happy,1437.wav
Neutral,1438.wav
Sad,1439.wav
Fearful,1440.wav
Angry,1441.wav
Angry,1442.wav
Angry,1443.wav
Happy,1444.wav
Happy,1445.wav
Neutral,1446.wav
Disgusted,1447.wav
Neutral,1448.wav
Neutral,1449.wav
Neutral,1450.wav
Fearful,1451.wav
Angry,1452.wav
Angry,1453.wav
Happy,1454.wav
Happy,1455.wav
Disgusted,1456.wav
Happy,1457.wav
Disgusted,1458.wav
Neutral,1459.wav
Fearful,1460.wav
Disgusted,1461.wav
Disgusted,1462.wav
Fearful,1463.wav
Sad,1464.wav
Sad,1465.wav
Fearful,1466.wav
Fearful,1467.wav
Happy,1468.wav
Suprised,1469.wav
Happy,1470.wav
Sad,1471.wav
Happy,1472.wav
Happy,1473.wav
Fearful,1474.wav
Happy,1475.wav
Neutral,1476.wav
Angry,1477.wav
Fearful,1478.wav
Neutral,1479.wav
Happy,1480.wav
Fearful,1481.wav
Fearful,1482.wav
Fearful,1483.wav
Sad,1484.wav
Fearful,1485.wav
Disgusted,1486.wav
Fearful,1487.wav
Disgusted,1488.wav
Suprised,1489.wav
Sad,1490.wav
Sad,1491.wav
Sad,1492.wav
Happy,1493.wav
Angry,1494.wav
Disgusted,1495.wav
Happy,1496.wav
Angry,1497.wav
Happy,1498.wav
Disgusted,1499.wav
Happy,1500.wav
Angry,1501.wav
Fearful,1502.wav
Neutral,1503.wav
Neutral,1504.wav
Sad,1505.wav
Sad,1506.wav
Neutral,1507.wav
Disgusted,1508.wav
Happy,1509.wav
Fearful,1510.wav
Suprised,1511.wav
Disgusted,1512.wav
Sad,1513.wav
Angry,1514.wav
Neutral,1515.wav
Angry,1516.wav
Disgusted,1517.wav
Angry,1518.wav
Sad,1519.wav
Angry,1520.wav
Fearful,1521.wav
Happy,1522.wav
Suprised,1523.wav
Fearful,1524.wav
Disgusted,1525.wav
Neutral,1526.wav
Fearful,1527.wav
Fearful,1528.wav
Happy,1529.wav
Happy,1530.wav
Disgusted,1531.wav
Sad,1532.wav
Happy,1533.wav
Angry,1534.wav
Angry,1535.wav
Neutral,1536.wav
Neutral,1537.wav
Sad,1538.wav
Angry,1539.wav
Happy,1540.wav
Neutral,1541.wav
Disgusted,1542.wav
Happy,1543.wav
Disgusted,1544.wav
Happy,1545.wav
Fearful,1546.wav
Fearful,1547.wav
Happy,1548.wav
Sad,1549.wav
Sad,1550.wav
Neutral,1551.wav
Happy,1552.wav
Angry,1553.wav
Fearful,1554.wav
Disgusted,1555.wav
Fearful,1556.wav
Neutral,1557.wav
Neutral,1558.wav
Happy,1559.wav
Angry,1560.wav
Sad,1561.wav
Fearful,1562.wav
Angry,1563.wav
Sad,1564.wav
Happy,1565.wav
Happy,1566.wav
Disgusted,1567.wav
Happy,1568.wav
Happy,1569.wav
Fearful,1570.wav
Happy,1571.wav
Angry,1572.wav
Disgusted,1573.wav
Angry,1574.wav
Sad,1575.wav
Neutral,1576.wav
Sad,1577.wav
Fearful,1578.wav
Suprised,1579.wav
Fearful,1580.wav
Fearful,1581.wav
Angry,1582.wav
Neutral,1583.wav
Angry,1584.wav
Neutral,1585.wav
Fearful,1586.wav
Sad,1587.wav
Disgusted,1588.wav
Fearful,1589.wav
Disgusted,1590.wav
Sad,1591.wav
Neutral,1592.wav
Suprised,1593.wav
Angry,1594.wav
Disgusted,1595.wav
Angry,1596.wav
Disgusted,1597.wav
Happy,1598.wav
Neutral,1599.wav
Disgusted,1600.wav
Sad,1601.wav
Disgusted,1602.wav
Happy,1603.wav
Neutral,1604.wav
Angry,1605.wav
Disgusted,1606.wav
Sad,1607.wav
Suprised,1608.wav
Disgusted,1609.wav
Angry,1610.wav
Neutral,1611.wav
Neutral,1612.wav
Happy,1613.wav
Fearful,1614.wav
Fearful,1615.wav
Happy,1616.wav
Angry,1617.wav
Angry,1618.wav
Angry,1619.wav
Fearful,1620.wav
Fearful,1621.wav
Fearful,1622.wav
Disgusted,1623.wav
Angry,1624.wav
Happy,1625.wav
Disgusted,1626.wav
Sad,1627.wav
Suprised,1628.wav
Angry,1629.wav
Fearful,1630.wav
Fearful,1631.wav
Neutral,1632.wav
Angry,1633.wav
Fearful,1634.wav
Happy,1635.wav
Fearful,1636.wav
Happy,1637.wav
Neutral,1638.wav
Suprised,1639.wav
Angry,1640.wav
Angry,1641.wav
Happy,1642.wav
Angry,1643.wav
Fearful,1644.wav
Happy,1645.wav
Disgusted,1646.wav
Angry,1647.wav
Angry,1648.wav
Neutral,1649.wav
Sad,1650.wav
Sad,1651.wav
Fearful,1652.wav
Sad,1653.wav
Angry,1654.wav
Neutral,1655.wav
Sad,1656.wav
Disgusted,1657.wav
Neutral,1658.wav
Happy,1659.wav
Sad,1660.wav
Fearful,1661.wav
Angry,1662.wav
Sad,1663.wav
Neutral,1664.wav
Neutral,1665.wav
Disgusted,1666.wav
Angry,1667.wav
Disgusted,1668.wav
Fearful,1669.wav
Disgusted,1670.wav
Sad,1671.wav
Fearful,1672.wav
Happy,1673.wav
Neutral,1674.wav
Disgusted,1675.wav
Angry,1676.wav
Sad,1677.wav
Fearful,1678.wav
Fearful,1679.wav
Sad,1680.wav
Disgusted,1681.wav
Happy,1682.wav
Happy,1683.wav
Suprised,1684.wav
Fearful,1685.wav
Angry,1686.wav
Happy,1687.wav
Fearful,1688.wav
Fearful,1689.wav
Neutral,1690.wav
Happy,1691.wav
Fearful,1692.wav
Sad,1693.wav
Neutral,1694.wav
Angry,1695.wav
Angry,1696.wav
Sad,1697.wav
Fearful,1698.wav
Disgusted,1699.wav
Happy,1700.wav
Angry,1701.wav
Neutral,1702.wav
Happy,1703.wav
Sad,1704.wav
Disgusted,1705.wav
Angry,1706.wav
Sad,1707.wav
Disgusted,1708.wav
Sad,1709.wav
Disgusted,1710.wav
Sad,1711.wav
Happy,1712.wav
Sad,1713.wav
Happy,1714.wav
Suprised,1715.wav
Neutral,1716.wav
Fearful,1717.wav
Fearful,1718.wav
Happy,1719.wav
Sad,1720.wav
Disgusted,1721.wav
Sad,1722.wav
Sad,1723.wav
Angry,1724.wav
Neutral,1725.wav
Disgusted,1726.wav
Neutral,1727.wav
Fearful,1728.wav
Neutral,1729.wav
Neutral,1730.wav
Sad,1731.wav
Sad,1732.wav
Neutral,1733.wav
Suprised,1734.wav
Fearful,1735.wav
Suprised,1736.wav
Disgusted,1737.wav
Sad,1738.wav
Sad,1739.wav
Happy,1740.wav
Sad,1741.wav
Happy,1742.wav
Disgusted,1743.wav
Angry,1744.wav
Fearful,1745.wav
Neutral,1746.wav
Neutral,1747.wav
Angry,1748.wav
Happy,1749.wav
Angry,1750.wav
Sad,1751.wav
Sad,1752.wav
Neutral,1753.wav
Happy,1754.wav
Angry,1755.wav
Sad,1756.wav
Happy,1757.wav
Neutral,1758.wav
Fearful,1759.wav
Fearful,1760.wav
Disgusted,1761.wav
Happy,1762.wav
Disgusted,1763.wav
Disgusted,1764.wav
Neutral,1765.wav
Happy,1766.wav
Neutral,1767.wav
Sad,1768.wav
Neutral,1769.wav
Fearful,1770.wav
Happy,1771.wav
Sad,1772.wav
Angry,1773.wav
Fearful,1774.wav
Sad,1775.wav
Fearful,1776.wav
Neutral,1777.wav
Angry,1778.wav
Sad,1779.wav
Happy,1780.wav
Suprised,1781.wav
Angry,1782.wav
Fearful,1783.wav
Angry,1784.wav
Suprised,1785.wav
Neutral,1786.wav
Sad,1787.wav
Neutral,1788.wav
Fearful,1789.wav
Disgusted,1790.wav
Disgusted,1791.wav
Disgusted,1792.wav
Happy,1793.wav
Fearful,1794.wav
Fearful,1795.wav
Angry,1796.wav
Happy,1797.wav
Sad,1798.wav
Disgusted,1799.wav
Sad,1800.wav
Neutral,1801.wav
Angry,1802.wav
Sad,1803.wav
Disgusted,1804.wav
Disgusted,1805.wav
Disgusted,1806.wav
Angry,1807.wav
Neutral,1808.wav
Angry,1809.wav
Disgusted,1810.wav
Disgusted,1811.wav
Angry,1812.wav
Happy,1813.wav
Fearful,1814.wav
Sad,1815.wav
Sad,1816.wav
Sad,1817.wav
Disgusted,1818.wav
Suprised,1819.wav
Angry,1820.wav
Sad,1821.wav
Neutral,1822.wav
Angry,1823.wav
Neutral,1824.wav
Neutral,1825.wav
Angry,1826.wav
Angry,1827.wav
Fearful,1828.wav
Happy,1829.wav
Fearful,1830.wav
Fearful,1831.wav
Disgusted,1832.wav
Neutral,1833.wav
Happy,1834.wav
Disgusted,1835.wav
Fearful,1836.wav
Fearful,1837.wav
Neutral,1838.wav
Fearful,1839.wav
Sad,1840.wav
Happy,1841.wav
Happy,1842.wav
Sad,1843.wav
Suprised,1844.wav
Happy,1845.wav
Happy,1846.wav
Sad,1847.wav
Angry,1848.wav
Angry,1849.wav
Neutral,1850.wav
Fearful,1851.wav
Angry,1852.wav
Suprised,1853.wav
Happy,1854.wav
Angry,1855.wav
Angry,1856.wav
Angry,1857.wav
Angry,1858.wav
Disgusted,1859.wav
Disgusted,1860.wav
Angry,1861.wav
Neutral,1862.wav
Sad,1863.wav
Disgusted,1864.wav
Angry,1865.wav
Neutral,1866.wav
Happy,1867.wav
Sad,1868.wav
Fearful,1869.wav
Neutral,1870.wav
Happy,1871.wav
Disgusted,1872.wav
Disgusted,1873.wav
Sad,1874.wav
Fearful,1875.wav
Happy,1876.wav
Angry,1877.wav
Fearful,1878.wav
Fearful,1879.wav
Suprised,1880.wav
Happy,1881.wav
Fearful,1882.wav
Happy,1883.wav
Suprised,1884.wav
Neutral,1885.wav
Disgusted,1886.wav
Suprised,1887.wav
Fearful,1888.wav
Fearful,1889.wav
Disgusted,1890.wav
Angry,1891.wav
Neutral,1892.wav
Sad,1893.wav
Angry,1894.wav
Neutral,1895.wav
Disgusted,1896.wav
Neutral,1897.wav
Happy,1898.wav
Fearful,1899.wav
Angry,1900.wav
Happy,1901.wav
Happy,1902.wav
Suprised,1903.wav
Angry,1904.wav
Disgusted,1905.wav
Angry,1906.wav
Neutral,1907.wav
Disgusted,1908.wav
Sad,1909.wav
Fearful,1910.wav
Neutral,1911.wav
Angry,1912.wav
Fearful,1913.wav
Fearful,1914.wav
Sad,1915.wav
Fearful,1916.wav
Happy,1917.wav
Happy,1918.wav
Sad,1919.wav
Sad,1920.wav
Sad,1921.wav
Happy,1922.wav
Fearful,1923.wav
Angry,1924.wav
Sad,1925.wav
Fearful,1926.wav
Disgusted,1927.wav
Happy,1928.wav
Neutral,1929.wav
Neutral,1930.wav
Suprised,1931.wav
Angry,1932.wav
Sad,1933.wav
Neutral,1934.wav
Sad,1935.wav
Neutral,1936.wav
Happy,1937.wav
Fearful,1938.wav
Happy,1939.wav
Disgusted,1940.wav
Disgusted,1941.wav
Sad,1942.wav
Disgusted,1943.wav
Angry,1944.wav
Fearful,1945.wav
Happy,1946.wav
Sad,1947.wav
Fearful,1948.wav
Suprised,1949.wav
Neutral,1950.wav
Sad,1951.wav
Angry,1952.wav
Neutral,1953.wav
Neutral,1954.wav
Disgusted,1955.wav
Angry,1956.wav
Angry,1957.wav
Angry,1958.wav
Neutral,1959.wav
Neutral,1960.wav
Angry,1961.wav
Happy,1962.wav
Angry,1963.wav
Disgusted,1964.wav
Suprised,1965.wav
Fearful,1966.wav
Angry,1967.wav
Disgusted,1968.wav
Sad,1969.wav
Angry,1970.wav
Happy,1971.wav
Sad,1972.wav
Fearful,1973.wav
Neutral,1974.wav
Neutral,1975.wav
Angry,1976.wav
Neutral,1977.wav
Neutral,1978.wav
Sad,1979.wav
Fearful,1980.wav
Fearful,1981.wav
Happy,1982.wav
Angry,1983.wav
Suprised,1984.wav
Sad,1985.wav
Fearful,1986.wav
Happy,1987.wav
Neutral,1988.wav
Neutral,1989.wav
Disgusted,1990.wav
Disgusted,1991.wav
Disgusted,1992.wav
Suprised,1993.wav
Neutral,1994.wav
Sad,1995.wav
Fearful,1996.wav
Fearful,1997.wav
Neutral,1998.wav
Angry,1999.wav
Happy,2000.wav
Suprised,2001.wav
Neutral,2002.wav
Neutral,2003.wav
Angry,2004.wav
Sad,2005.wav
Neutral,2006.wav
Angry,2007.wav
Neutral,2008.wav
Angry,2009.wav
Neutral,2010.wav
Disgusted,2011.wav
Happy,2012.wav
Sad,2013.wav
Happy,2014.wav
Fearful,2015.wav
Disgusted,2016.wav
Angry,2017.wav
Fearful,2018.wav
Angry,2019.wav
Neutral,2020.wav
Happy,2021.wav
Happy,2022.wav
Happy,2023.wav
Happy,2024.wav
Happy,2025.wav
Angry,2026.wav
Fearful,2027.wav
Angry,2028.wav
Neutral,2029.wav
Fearful,2030.wav
Angry,2031.wav
Angry,2032.wav
Suprised,2033.wav
Disgusted,2034.wav
Angry,2035.wav
Disgusted,2036.wav
Neutral,2037.wav
Fearful,2038.wav
Happy,2039.wav
Sad,2040.wav
Suprised,2041.wav
Suprised,2042.wav
Angry,2043.wav
Angry,2044.wav
Disgusted,2045.wav
Sad,2046.wav
Fearful,2047.wav
Disgusted,2048.wav
Neutral,2049.wav
Happy,2050.wav
Disgusted,2051.wav
Sad,2052.wav
Sad,2053.wav
Angry,2054.wav
Fearful,2055.wav
Sad,2056.wav
Neutral,2057.wav
Happy,2058.wav
Sad,2059.wav
Disgusted,2060.wav
Sad,2061.wav
Sad,2062.wav
Happy,2063.wav
Happy,2064.wav
Fearful,2065.wav
Sad,2066.wav
Angry,2067.wav
Neutral,2068.wav
Disgusted,2069.wav
Sad,2070.wav
Fearful,2071.wav
Disgusted,2072.wav
Fearful,2073.wav
Fearful,2074.wav
Angry,2075.wav
Angry,2076.wav
Neutral,2077.wav
Sad,2078.wav
Suprised,2079.wav
Happy,2080.wav
Neutral,2081.wav
Disgusted,2082.wav
Disgusted,2083.wav
Neutral,2084.wav
Fearful,2085.wav
Suprised,2086.wav
Disgusted,2087.wav
Fearful,2088.wav
Happy,2089.wav
Fearful,2090.wav
Sad,2091.wav
Neutral,2092.wav
Neutral,2093.wav
Angry,2094.wav
Happy,2095.wav
Angry,2096.wav
Angry,2097.wav
Disgusted,2098.wav
Fearful,2099.wav
Sad,2100.wav
Fearful,2101.wav
Fearful,2102.wav
Neutral,2103.wav
Fearful,2104.wav
Sad,2105.wav
Fearful,2106.wav
Sad,2107.wav
Fearful,2108.wav
Happy,2109.wav
Fearful,2110.wav
Suprised,2111.wav
Sad,2112.wav
Disgusted,2113.wav
Disgusted,2114.wav
Disgusted,2115.wav
Neutral,2116.wav
Neutral,2117.wav
Happy,2118.wav
Happy,2119.wav
Suprised,2120.wav
Sad,2121.wav
Neutral,2122.wav
Disgusted,2123.wav
Sad,2124.wav
Disgusted,2125.wav
Sad,2126.wav
Fearful,2127.wav
Happy,2128.wav
Neutral,2129.wav
Fearful,2130.wav
Fearful,2131.wav
Sad,2132.wav
Angry,2133.wav
Sad,2134.wav
Happy,2135.wav
Happy,2136.wav
Disgusted,2137.wav
Angry,2138.wav
Neutral,2139.wav
Sad,2140.wav
Angry,2141.wav
Neutral,2142.wav
Happy,2143.wav
Happy,2144.wav
Angry,2145.wav
Fearful,2146.wav
Disgusted,2147.wav
Sad,2148.wav
Fearful,2149.wav
Suprised,2150.wav
Happy,2151.wav
Angry,2152.wav
Disgusted,2153.wav
Fearful,2154.wav
Neutral,2155.wav
Neutral,2156.wav
Fearful,2157.wav
Angry,2158.wav
Disgusted,2159.wav
Suprised,2160.wav
Angry,2161.wav
Sad,2162.wav
Happy,2163.wav
Neutral,2164.wav
Disgusted,2165.wav
Disgusted,2166.wav
Angry,2167.wav
Angry,2168.wav
Happy,2169.wav
Angry,2170.wav
Fearful,2171.wav
Sad,2172.wav
Fearful,2173.wav
Angry,2174.wav
Suprised,2175.wav
Angry,2176.wav
Angry,2177.wav
Angry,2178.wav
Sad,2179.wav
Angry,2180.wav
Sad,2181.wav
Sad,2182.wav
Fearful,2183.wav
Sad,2184.wav
Fearful,2185.wav
Happy,2186.wav
Disgusted,2187.wav
Neutral,2188.wav
Happy,2189.wav
Sad,2190.wav
Angry,2191.wav
Happy,2192.wav
Suprised,2193.wav
Disgusted,2194.wav
Angry,2195.wav
Disgusted,2196.wav
Fearful,2197.wav
Angry,2198.wav
Fearful,2199.wav
Sad,2200.wav
Disgusted,2201.wav
Sad,2202.wav
Sad,2203.wav
Angry,2204.wav
Neutral,2205.wav
Angry,2206.wav
Neutral,2207.wav
Sad,2208.wav
Happy,2209.wav
Fearful,2210.wav
Angry,2211.wav
Angry,2212.wav
Suprised,2213.wav
Disgusted,2214.wav
Sad,2215.wav
Suprised,2216.wav
Fearful,2217.wav
Sad,2218.wav
Neutral,2219.wav
Angry,2220.wav
Sad,2221.wav
Neutral,2222.wav
Angry,2223.wav
Sad,2224.wav
Suprised,2225.wav
Disgusted,2226.wav
Angry,2227.wav
Happy,2228.wav
Angry,2229.wav
Fearful,2230.wav
Fearful,2231.wav
Disgusted,2232.wav
Sad,2233.wav
Sad,2234.wav
Sad,2235.wav
Angry,2236.wav
Angry,2237.wav
Fearful,2238.wav
Happy,2239.wav
Angry,2240.wav
Disgusted,2241.wav
Happy,2242.wav
Sad,2243.wav
Angry,2244.wav
Angry,2245.wav
Happy,2246.wav
Disgusted,2247.wav
Happy,2248.wav
Angry,2249.wav
Happy,2250.wav
Suprised,2251.wav
Angry,2252.wav
Happy,2253.wav
Neutral,2254.wav
Disgusted,2255.wav
Fearful,2256.wav
Sad,2257.wav
Happy,2258.wav
Sad,2259.wav
Sad,2260.wav
Disgusted,2261.wav
Sad,2262.wav
Neutral,2263.wav
Angry,2264.wav
Angry,2265.wav
Neutral,2266.wav
Angry,2267.wav
Angry,2268.wav
Fearful,2269.wav
Disgusted,2270.wav
Sad,2271.wav
Angry,2272.wav
Fearful,2273.wav
Neutral,2274.wav
Happy,2275.wav
Disgusted,2276.wav
Neutral,2277.wav
Suprised,2278.wav
Sad,2279.wav
Disgusted,2280.wav
Angry,2281.wav
Fearful,2282.wav
Fearful,2283.wav
Neutral,2284.wav
Happy,2285.wav
Angry,2286.wav
Sad,2287.wav
Disgusted,2288.wav
Sad,2289.wav
Sad,2290.wav
Angry,2291.wav
Disgusted,2292.wav
Neutral,2293.wav
Fearful,2294.wav
Fearful,2295.wav
Happy,2296.wav
Neutral,2297.wav
Angry,2298.wav
Disgusted,2299.wav
Sad,2300.wav
Disgusted,2301.wav
Neutral,2302.wav
Neutral,2303.wav
Happy,2304.wav
Happy,2305.wav
Sad,2306.wav
Sad,2307.wav
Sad,2308.wav
Sad,2309.wav
Disgusted,2310.wav
Disgusted,2311.wav
Sad,2312.wav
Angry,2313.wav
Fearful,2314.wav
Suprised,2315.wav
Fearful,2316.wav
Neutral,2317.wav
Disgusted,2318.wav
Sad,2319.wav
Sad,2320.wav
Neutral,2321.wav
Fearful,2322.wav
Happy,2323.wav
Suprised,2324.wav
Fearful,2325.wav
Happy,2326.wav
Happy,2327.wav
Angry,2328.wav
Happy,2329.wav
Fearful,2330.wav
Neutral,2331.wav
Neutral,2332.wav
Happy,2333.wav
Fearful,2334.wav
Disgusted,2335.wav
Angry,2336.wav
Angry,2337.wav
Disgusted,2338.wav
Angry,2339.wav
Fearful,2340.wav
Disgusted,2341.wav
Neutral,2342.wav
Angry,2343.wav
Neutral,2344.wav
Neutral,2345.wav
Sad,2346.wav
Angry,2347.wav
Sad,2348.wav
Fearful,2349.wav
Angry,2350.wav
Disgusted,2351.wav
Neutral,2352.wav
Happy,2353.wav
Fearful,2354.wav
Angry,2355.wav
Disgusted,2356.wav
Sad,2357.wav
Angry,2358.wav
Fearful,2359.wav
Happy,2360.wav
Angry,2361.wav
Disgusted,2362.wav
Angry,2363.wav
Disgusted,2364.wav
Disgusted,2365.wav
Happy,2366.wav
Sad,2367.wav
Sad,2368.wav
Angry,2369.wav
Neutral,2370.wav
Fearful,2371.wav
Happy,2372.wav
Sad,2373.wav
Angry,2374.wav
Sad,2375.wav
Fearful,2376.wav
Disgusted,2377.wav
Happy,2378.wav
Sad,2379.wav
Angry,2380.wav
Disgusted,2381.wav
Disgusted,2382.wav
Fearful,2383.wav
Fearful,2384.wav
Neutral,2385.wav
Angry,2386.wav
Angry,2387.wav
Neutral,2388.wav
Fearful,2389.wav
Happy,2390.wav
Happy,2391.wav
Sad,2392.wav
Happy,2393.wav
Neutral,2394.wav
Sad,2395.wav
Disgusted,2396.wav
Angry,2397.wav
Fearful,2398.wav
Neutral,2399.wav
Sad,2400.wav
Angry,2401.wav
Angry,2402.wav
Sad,2403.wav
Angry,2404.wav
Disgusted,2405.wav
Happy,2406.wav
Fearful,2407.wav
Happy,2408.wav
Angry,2409.wav
Neutral,2410.wav
Sad,2411.wav
Happy,2412.wav
Sad,2413.wav
Happy,2414.wav
Happy,2415.wav
Angry,2416.wav
Neutral,2417.wav
Neutral,2418.wav
Sad,2419.wav
Suprised,2420.wav
Angry,2421.wav
Fearful,2422.wav
Sad,2423.wav
Sad,2424.wav
Sad,2425.wav
Disgusted,2426.wav
Angry,2427.wav
Neutral,2428.wav
Neutral,2429.wav
Happy,2430.wav
Fearful,2431.wav
Disgusted,2432.wav
Sad,2433.wav
Happy,2434.wav
Fearful,2435.wav
Angry,2436.wav
Happy,2437.wav
Happy,2438.wav
Sad,2439.wav
Happy,2440.wav
Sad,2441.wav
Fearful,2442.wav
Angry,2443.wav
Sad,2444.wav
Fearful,2445.wav
Angry,2446.wav
Angry,2447.wav
Fearful,2448.wav
Neutral,2449.wav
Fearful,2450.wav
Sad,2451.wav
Disgusted,2452.wav
Disgusted,2453.wav
Happy,2454.wav
Neutral,2455.wav
Disgusted,2456.wav
Neutral,2457.wav
Fearful,2458.wav
Sad,2459.wav
Suprised,2460.wav
Neutral,2461.wav
Sad,2462.wav
Fearful,2463.wav
Angry,2464.wav
Angry,2465.wav
Fearful,2466.wav
Disgusted,2467.wav
Neutral,2468.wav
Suprised,2469.wav
Angry,2470.wav
Angry,2471.wav
Sad,2472.wav
Happy,2473.wav
Happy,2474.wav
Sad,2475.wav
Angry,2476.wav
Sad,2477.wav
Fearful,2478.wav
Disgusted,2479.wav
Neutral,2480.wav
Angry,2481.wav
Fearful,2482.wav
Fearful,2483.wav
Happy,2484.wav
Disgusted,2485.wav
Angry,2486.wav
Disgusted,2487.wav
Angry,2488.wav
Sad,2489.wav
Neutral,2490.wav
Angry,2491.wav
Happy,2492.wav
Fearful,2493.wav
Angry,2494.wav
Angry,2495.wav
Neutral,2496.wav
Fearful,2497.wav
Sad,2498.wav
Fearful,2499.wav
Disgusted,2500.wav
Sad,2501.wav
Fearful,2502.wav
Disgusted,2503.wav
Angry,2504.wav
Angry,2505.wav
Disgusted,2506.wav
Neutral,2507.wav
Sad,2508.wav
Neutral,2509.wav
Sad,2510.wav
Angry,2511.wav
Happy,2512.wav
Neutral,2513.wav
Fearful,2514.wav
Fearful,2515.wav
Disgusted,2516.wav
Disgusted,2517.wav
Neutral,2518.wav
Angry,2519.wav
Happy,2520.wav
Angry,2521.wav
Disgusted,2522.wav
Fearful,2523.wav
Neutral,2524.wav
Sad,2525.wav
Neutral,2526.wav
Sad,2527.wav
Sad,2528.wav
Angry,2529.wav
Happy,2530.wav
Happy,2531.wav
Sad,2532.wav
Angry,2533.wav
Fearful,2534.wav
Disgusted,2535.wav
Sad,2536.wav
Fearful,2537.wav
Neutral,2538.wav
Sad,2539.wav
Angry,2540.wav
Happy,2541.wav
Fearful,2542.wav
Sad,2543.wav
Fearful,2544.wav
Angry,2545.wav
Neutral,2546.wav
Angry,2547.wav
Neutral,2548.wav
Fearful,2549.wav
Angry,2550.wav
Happy,2551.wav
Happy,2552.wav
Sad,2553.wav
Angry,2554.wav
Disgusted,2555.wav
Fearful,2556.wav
Happy,2557.wav
Happy,2558.wav
Angry,2559.wav
Neutral,2560.wav
Sad,2561.wav
Disgusted,2562.wav
Happy,2563.wav
Fearful,2564.wav
Fearful,2565.wav
Sad,2566.wav
Happy,2567.wav
Sad,2568.wav
Sad,2569.wav
Angry,2570.wav
Fearful,2571.wav
Fearful,2572.wav
Sad,2573.wav
Fearful,2574.wav
Neutral,2575.wav
Angry,2576.wav
Sad,2577.wav
Sad,2578.wav
Angry,2579.wav
Neutral,2580.wav
Sad,2581.wav
Happy,2582.wav
Sad,2583.wav
Neutral,2584.wav
Angry,2585.wav
Fearful,2586.wav
Happy,2587.wav
Fearful,2588.wav
Fearful,2589.wav
Happy,2590.wav
Angry,2591.wav
Disgusted,2592.wav
Sad,2593.wav
Happy,2594.wav
Disgusted,2595.wav
Neutral,2596.wav
Disgusted,2597.wav
Happy,2598.wav
Sad,2599.wav
Disgusted,2600.wav
Suprised,2601.wav
Fearful,2602.wav
Sad,2603.wav
Suprised,2604.wav
Happy,2605.wav
Sad,2606.wav
Neutral,2607.wav
Disgusted,2608.wav
Fearful,2609.wav
Fearful,2610.wav
Happy,2611.wav
Happy,2612.wav
Sad,2613.wav
Angry,2614.wav
Happy,2615.wav
Disgusted,2616.wav
Sad,2617.wav
Angry,2618.wav
Disgusted,2619.wav
Disgusted,2620.wav
Neutral,2621.wav
Disgusted,2622.wav
Angry,2623.wav
Angry,2624.wav
Happy,2625.wav
Angry,2626.wav
Happy,2627.wav
Neutral,2628.wav
Sad,2629.wav
Happy,2630.wav
Suprised,2631.wav
Suprised,2632.wav
Angry,2633.wav
Sad,2634.wav
Sad,2635.wav
Angry,2636.wav
Angry,2637.wav
Fearful,2638.wav
Disgusted,2639.wav
Disgusted,2640.wav
Neutral,2641.wav
Neutral,2642.wav
Angry,2643.wav
Disgusted,2644.wav
Disgusted,2645.wav
Angry,2646.wav
Fearful,2647.wav
Happy,2648.wav
Angry,2649.wav
Sad,2650.wav
Sad,2651.wav
Happy,2652.wav
Disgusted,2653.wav
Disgusted,2654.wav
Sad,2655.wav
Angry,2656.wav
Fearful,2657.wav
Neutral,2658.wav
Fearful,2659.wav
Disgusted,2660.wav
Disgusted,2661.wav
Fearful,2662.wav
Sad,2663.wav
Fearful,2664.wav
Fearful,2665.wav
Happy,2666.wav
Sad,2667.wav
Angry,2668.wav
Neutral,2669.wav
Neutral,2670.wav
Happy,2671.wav
Disgusted,2672.wav
Sad,2673.wav
Sad,2674.wav
Sad,2675.wav
Disgusted,2676.wav
Fearful,2677.wav
Sad,2678.wav
Sad,2679.wav
Sad,2680.wav
Happy,2681.wav
Disgusted,2682.wav
Disgusted,2683.wav
Angry,2684.wav
Sad,2685.wav
Angry,2686.wav
Angry,2687.wav
Suprised,2688.wav
Suprised,2689.wav
Happy,2690.wav
Happy,2691.wav
Angry,2692.wav
Sad,2693.wav
Happy,2694.wav
Happy,2695.wav
Suprised,2696.wav
Neutral,2697.wav
Angry,2698.wav
Happy,2699.wav
Suprised,2700.wav
Fearful,2701.wav
Happy,2702.wav
Fearful,2703.wav
Sad,2704.wav
Angry,2705.wav
Angry,2706.wav
Angry,2707.wav
Disgusted,2708.wav
Sad,2709.wav
Sad,2710.wav
Neutral,2711.wav
Angry,2712.wav
Suprised,2713.wav
Angry,2714.wav
Suprised,2715.wav
Angry,2716.wav
Happy,2717.wav
Neutral,2718.wav
Fearful,2719.wav
Neutral,2720.wav
Angry,2721.wav
Happy,2722.wav
Fearful,2723.wav
